id;title;description;due_date;date;status;type;priority
1;thoroughly closely;capitalise knitting;2025-01-02;2025-01-03T04:11:20;IN_PROGRESS;BUG;HIGHER
2;till geez;relative;2025-01-02;2025-01-03T08:13:31;REOPENED;FEATURE;LOWERST
3;accountability exalted;understated;2025-01-02;2025-01-03T09:57:12;OPEN;FEATURE;LOWER
4;geez lest incidentally;dramatic axe;2025-01-03;2025-01-03T04:25:38;WONT_IMPLEMENT;BUG;HIGHEST
5;forgery impossible;manipulate after;2025-01-02;2025-01-02T20:28:39;REOPENED;BUG;HIGH
6;per;govern yuck;2025-01-02;2025-01-02T17:07:39;SOLVED;BUG;LOW
7;schnitzel;wherever huzzah dirty;2025-01-02;2025-01-02T20:24:37;REOPENED;BUG;LOW
8;emulsify besides;without kookily;2025-01-03;2025-01-03T03:30:42;WONT_IMPLEMENT;FEATURE;HIGHER
9;joshingly because;once;2025-01-02;2025-01-02T14:16:53;IN_PROGRESS;FEATURE;LOW
10;jacket;failing of orchid;2025-01-03;2025-01-02T21:49:08;SOLVED;BUG;NORMAL
